Date,level
2024-05-31,101.44128583847711
2024-06-03,98.94717308125095
2024-06-04,97.35639376581157
2024-06-05,98.93700374150163
2024-06-06,96.35207535776986
2024-06-07,93.31395173015974
2024-06-10,94.62176042061913
2024-06-11,95.5834163552789
2024-06-12,93.86598513726
2024-06-13,91.99903484510233
2024-06-14,91.5389100980273
2024-06-17,93.07242975219545
2024-06-18,88.9132754368698
2024-06-20,84.32050864498686
2024-06-21,85.34522704510323
2024-06-24,85.9413237937382
2024-06-25,84.29797039020386
2024-06-26,84.14953463960309
2024-06-27,90.51816196343415
2024-06-28,87.957525292814
2024-07-01,81.75272490951116
2024-07-02,82.27016299530726
2024-07-03,84.23257945411855
2024-07-05,88.16149201242823
2024-07-08,92.2211233125051
2024-07-09,90.0971790815083
